Top queries,Clicks,Impressions,CTR,Position
finished airing,0,26,0%,15.9
jujutsu kaisen watch order,0,11,0%,56.4
anime atlas,0,10,0%,15.9
airing,0,9,0%,15.9
anime discovery,0,5,0%,15.9
chainsaw man watch order,0,2,0%,9.6
